"original_recording_id","observation_number","observation_label","observation_date","pre_group_size_known_hours","pre_time_weighted_mean_group_size","pre_multiple_grackle_percent","post_group_size_known_hours","post_time_weighted_mean_group_size","post_multiple_grackle_percent","mean_group_size_difference","mean_group_size_ratio","multiple_grackle_percentage_point_difference"
"N2",1,"Observation 1","2017-10-23",0.252580555555555,1.27627709531612,22.2250327178348,1.37773694444445,1.75727183850005,52.4441752608391,0.480994743183926,1.37687328633347,30.2191425430043
"V2",3,"Observation 3","2017-11-29",0.324761111111107,1.70301931334142,31.0651418991735,1.50089194444445,2.57939713995992,60.3350859331608,0.876377826618499,1.51460240042668,29.2699440339873
"N4",5,"Observation 5","2017-12-01",0.284600833333333,1.86178204756564,27.9579684216589,1.02992055555555,1.48656180061353,33.1787726885084,-0.375220246952112,0.798461776209128,5.2208042668495
"M(5)",9,"Observation 9","2017-12-06",0.107519722222222,1.63034947076892,46.952626262365,1.86963583333333,1.74998815128734,47.2796915739237,0.119638680518414,1.07338223041345,0.327065311558705
"N8",11,"Observation 11","2017-12-13",0.367812499999998,1.97709355234589,55.2480317190602,1.14300638888889,2.83096065128438,72.653283020922,0.853867098938493,1.43187996740233,17.4052513018619
"V5",13,"Observation 13","2017-12-15",0.210013888888892,1.70437140400764,39.6764764235167,0.70449638888889,1.23223997284111,19.3860310773613,-0.47213143116653,0.722987941444943,-20.2904453461554
"V7",15,"Observation 15","2017-12-20",0.582014722222228,2.06478931183965,55.267979570963,1.51993833333332,2.06229876285187,51.5513239023957,-0.002490548987788,0.998793799941957,-3.71665566856728
"M(8)",17,"Observation 17","2017-12-22",0.209500833333334,1.00668918049915,0.668918049914952,1.7274425,2.22472238583918,56.3619982205551,1.21803320534003,2.20993970029169,55.6930801706402
"N9",18,"Observation 18","2017-12-29",1.40714416666667,2.0403425456485,52.4577656202407,0.967708888888896,2.22103840916344,58.6987535278051,0.18069586351494,1.0885615329153,6.24098790756441
"M(2)",23,"Observation 23","2018-01-03",0.221756944444444,1.59612689067736,50.8520965772089,1.25606138888889,2.35476172099692,65.1032404865208,0.758634830319563,1.47529731799557,14.2511439093119
"N1",25,"Observation 25","2018-01-06",0.291825,1.71128815785716,57.0297076824962,1.91957777777778,2.62294514997511,62.6058681886062,0.911656992117944,1.53273143271178,5.57616050611
