"replicate","camera_rate_ratio","opportunity_adjusted_rate_ratio","camera_convergence","opportunity_convergence","error"
1201,1.80824217955599,1.55487779778383,"full convergence","full convergence",
1202,2.00375922377494,1.54112959373644,"full convergence","full convergence",
1203,1.78394896354762,1.30631715396041,"full convergence","full convergence",
1204,1.07534918207917,1.22417886929379,"full convergence","full convergence",
1205,2.11611975114668,1.50616224888828,"full convergence","full convergence",
1206,1.51237517154691,1.29116720756226,"full convergence","full convergence",
1207,1.59558908019198,1.37954298779673,"full convergence","full convergence",
1208,0.83641505390997,0.985204818634639,"full convergence","full convergence",
1209,1.85327734883404,1.66796559593416,"full convergence","full convergence",
1210,2.32724232137216,1.42009817526667,"full convergence","full convergence",
1211,1.27240754079065,0.783519023512969,"full convergence","full convergence",
1212,1.74818236343349,2.83685233212764,"full convergence","full convergence",
1213,3.51124306667056,2.03562101493842,"full convergence","full convergence",
1214,4.49753833707593,2.18086150268796,"full convergence","full convergence",
1215,2.15720242554808,2.17144973044938,"full convergence","full convergence",
1216,1.83306843942034,1.06257276394189,"full convergence","full convergence",
1217,1.18933125212758,0.350886004535065,"full convergence","full convergence",
1218,1.03623711075929,0.837853569043178,"full convergence","full convergence",
1219,1.45427006726332,0.924543372299822,"full convergence","full convergence",
1220,1.06689263017019,0.855372397202172,"full convergence","full convergence",
1221,1.49110505422151,1.23754530962699,"full convergence","full convergence",
1222,2.14786593959875,1.4199125425991,"full convergence","full convergence",
1223,0.953509481908735,0.771401895708783,"full convergence","full convergence",
1224,1.77097664893448,1.48993269008217,"full convergence","full convergence",
1225,1.35636368820772,1.139896467382,"full convergence","full convergence",
1226,1.86737112209438,2.08859394128851,"full convergence","full convergence",
1227,0.969946685721125,0.673918147317477,"full convergence","full convergence",
1228,2.66634952996698,1.41608650315999,"full convergence","full convergence",
1229,1.57185494639645,1.21948976538443,"full convergence","full convergence",
1230,2.57484469165506,1.83713879815596,"full convergence","full convergence",
1231,1.47954312399186,1.35324921515396,"full convergence","full convergence",
1232,1.28802389199489,1.35428283143947,"full convergence","full convergence",
1233,6.70219289001864,4.15205898589994,"full convergence","full convergence",
1234,1.02671597979382,0.860534979971182,"full convergence","full convergence",
1235,1.4005373612329,0.762587810976395,"full convergence","full convergence",
1236,1.98437730320349,2.0279123691566,"full convergence","full convergence",
1237,1.0053886125656,0.656939421674794,"full convergence","full convergence",
1238,0.912236670829085,0.922167913507569,"full convergence","full convergence",
1239,3.03103524472741,1.55791595879601,"full convergence","full convergence",
1240,1.31888430506511,0.892501332563682,"full convergence","full convergence",
1241,0.818388020607094,1.13143657434596,"full convergence","full convergence",
1242,1.31785272911499,1.08662634565905,"full convergence","full convergence",
1243,2.49309620700806,1.52169008751728,"full convergence","full convergence",
1244,2.13041259827995,1.97126786164156,"full convergence","full convergence",
1245,2.08452035568532,1.88919964336275,"full convergence","full convergence",
1246,1.17569310018372,1.2639361424394,"full convergence","full convergence",
1247,0.840946084303876,0.93747251568795,"full convergence","full convergence",
